"boyle_1811WL0800-out" "boyle_1811WL0875-out" "boyle_1813WL0672-out" "boyle_1816WL0749-out" "boyle_1816WL0804-out" "boyle_1816WL0857-out" "boyle_1823WL1245-out" "boyle_1823WL1277-out" "boyle_1825WL1210-out" "boyle_1826WL1283-out" "mills_1821WL1078-out" "mills_1821WL1160-out" "mills_1823WL1275-out" "mills_1826WL1312-out" "mills_1827WL1430-out" "mills_1827WL1468-out" "mills_1827WL1658-out" "mills_1827WL1678-out" "mills_1828WL1313-out" "mills_1828WL1326-out" "owsley_1815WL0729-out" "owsley_1816WL0780-out" "owsley_1818WL1295-out" "owsley_1820WL1109-out" "owsley_1821WL1072-out" "owsley_1821WL1172-out" "owsley_1826WL1253-out" "owsley_1826WL1285-out" "owsley_1828WL1236-out" "owsley_1828WL1289-out"
"it" 1.18168389955687 1.36986301369863 1.75054704595186 2.56880733944954 1.34146341463415 2.1680216802168 0.888529886914378 1.84254606365159 1.61637931034483 1.3986013986014 1.16414435389988 1.02857142857143 0.661375661375661 1.14285714285714 1.42369020501139 0.839748075577327 0.873362445414847 1.03305785123967 2.33463035019455 1.53562653562654 0.596125186289121 0.976138828633406 2.01612903225806 0.537634408602151 1.28342245989305 0.179856115107914 0.643086816720257 0.718849840255591 0.36101083032491 0.883977900552486
"for" 1.32939438700148 1.48401826484018 0.87527352297593 1.46788990825688 1.21951219512195 1.3550135501355 1.05008077544426 1.08877721943049 2.04741379310345 0.979020979020979 0.814901047729919 2.05714285714286 1.45502645502646 1.42857142857143 0.683371298405467 1.46955913226032 1.74672489082969 1.44628099173554 0.622568093385214 0.42997542997543 0.894187779433681 0.867678958785249 3.62903225806452 2.1505376344086 0.641711229946524 0.719424460431655 0.562700964630225 0.958466453674121 0.902527075812274 1.43646408839779
"not" 0.886262924667651 1.14155251141553 2.40700218818381 0.917431192660551 0.609756097560976 1.6260162601626 0.969305331179321 1.6750418760469 1.07758620689655 1.53846153846154 0.853705859526581 1.37142857142857 0.529100529100529 0.714285714285714 1.08200455580866 1.46955913226032 1.31004366812227 0.826446280991736 0.933852140077821 1.41277641277641 0.447093889716841 0.867678958785249 0.403225806451613 1.34408602150538 0.962566844919786 0.719424460431655 0.482315112540193 1.11821086261981 0.36101083032491 1.21546961325967
"court" 1.18168389955687 2.05479452054795 0 0.36697247706422 1.21951219512195 1.3550135501355 0.807754442649435 0.50251256281407 0.323275862068966 0.979020979020979 0.582072176949942 1.25714285714286 1.19047619047619 0.571428571428571 0.5125284738041 0.629811056682995 1.31004366812227 0.413223140495868 0.544747081712062 0.798525798525799 1.34128166915052 0.325379609544469 3.62903225806452 2.41935483870968 2.5668449197861 0.719424460431655 2.17041800643087 0.479233226837061 0.992779783393502 0.552486187845304
"was" 0.443131462333826 1.14155251141553 1.09409190371991 1.28440366972477 0.853658536585366 2.710027100271 1.05008077544426 1.08877721943049 0.646551724137931 0.839160839160839 0.69848661233993 0.457142857142857 1.05820105820106 1.28571428571429 1.13895216400911 0.629811056682995 0.436681222707424 1.13636363636364 0.544747081712062 0.85995085995086 0.596125186289121 0.433839479392625 1.20967741935484 1.34408602150538 1.92513368983957 1.2589928057554 0.643086816720257 0.23961661341853 0.812274368231047 1.87845303867403
"this" 0.886262924667651 0.570776255707763 1.09409190371991 1.10091743119266 0.853658536585366 0.2710027100271 1.13085621970921 0.753768844221106 0.431034482758621 0.839160839160839 1.0477299185099 0.914285714285714 0.396825396825397 1.42857142857143 0.626423690205011 0.979706088173548 0 0.826446280991736 1.32295719844358 1.16707616707617 0.745156482861401 0.433839479392625 0.403225806451613 1.34408602150538 1.92513368983957 0.899280575539568 0.241157556270096 0.798722044728435 0.541516245487365 0.441988950276243
"as" 0.295420974889217 0.684931506849315 0.656455142231947 0.36697247706422 1.34146341463415 0.813008130081301 0.807754442649435 1.42378559463987 0.754310344827586 0.699300699300699 0.931315483119907 1.02857142857143 0.661375661375661 1.14285714285714 0.5125284738041 1.3296011196641 1.31004366812227 0.516528925619835 0.933852140077821 0.85995085995086 0.745156482861401 1.51843817787419 0.403225806451613 0.537634408602151 0.748663101604278 0.899280575539568 1.12540192926045 0.479233226837061 0.36101083032491 0.883977900552486
"on" 0 0.342465753424658 0.656455142231947 0.36697247706422 0.365853658536585 1.0840108401084 0.969305331179321 0.586264656616415 0.754310344827586 0.559440559440559 0.814901047729919 1.37142857142857 0.661375661375661 1.14285714285714 0.968109339407745 0.839748075577327 0.436681222707424 1.34297520661157 1.47859922178988 0.921375921375921 0.596125186289121 0 0.403225806451613 1.0752688172043 0.53475935828877 0.719424460431655 0.401929260450161 1.19808306709265 0.451263537906137 0.552486187845304
"which" 1.32939438700148 1.14155251141553 1.09409190371991 0.73394495412844 0.731707317073171 0.813008130081301 0.565428109854604 0.586264656616415 0.862068965517241 0.699300699300699 0.504462553356616 1.14285714285714 1.05820105820106 0.714285714285714 0.797266514806378 0.699790062981106 0.436681222707424 1.44628099173554 0.933852140077821 0.307125307125307 0.29806259314456 0.542299349240781 0 0.537634408602151 0.106951871657754 0.359712230215827 0.241157556270096 0.159744408945687 1.08303249097473 0.773480662983425
"or" 0.147710487444609 0.114155251141553 0.87527352297593 0.73394495412844 0.609756097560976 0.2710027100271 0.403877221324717 0.251256281407035 0.323275862068966 1.11888111888112 0.465657741559953 1.14285714285714 1.05820105820106 0.285714285714286 0.5125284738041 0.139958012596221 0.873362445414847 0.929752066115702 0.700389105058366 0.675675675675676 0 0.325379609544469 0.403225806451613 0.537634408602151 0.213903743315508 1.61870503597122 1.44694533762058 1.03833865814696 0.72202166064982 0.441988950276243
"an" 0.590841949778434 0.228310502283105 0.656455142231947 0.18348623853211 0.853658536585366 1.0840108401084 0.484652665589661 0.753768844221106 1.40086206896552 0.699300699300699 0.504462553356616 0.914285714285714 0.264550264550265 0.428571428571429 0.341685649202733 0.0699790062981106 1.31004366812227 0.619834710743802 0.389105058365759 0.982800982800983 1.04321907600596 0.759219088937093 0 0.268817204301075 0.53475935828877 1.79856115107914 0.401929260450161 0.399361022364217 0.541516245487365 0.552486187845304
