"boyle_021-out" "boyle_022-out" "Dickens_Hard" "sneed_people"
"but" 0 0.273722627737226 0.357204752459995 0.447055154130062
"made" 0 0.273722627737226 0.139608326433152 0.150751156625253
"against" 0 0.0912408759124088 0.0510292503514279 0.135156209388158
"no" 0.27063599458728 0.0912408759124088 0.3138780304635 0.306700628996205
"are" 0.13531799729364 0.273722627737226 0.204117001405711 0.25991578728492
"their" 0.6765899864682 0.547445255474453 0.152124935009917 0.530228206061236
"upon" 0.13531799729364 0.0912408759124088 0.264774412200805 0.150751156625253
"they" 0.13531799729364 0.182481751824818 0.281142284955037 0.514633258824141
"case" 0.27063599458728 0.547445255474453 0.0240704011091641 0.0935696834225711
"such" 0.13531799729364 0.0912408759124088 0.148273670832451 0.171544419608047
"him" 0.81190798376184 0.182481751824818 0.578652442664305 0.218329261319333
"has" 0.40595399188092 0.364963503649635 0.139608326433152 0.311898944741904
"any" 0 0 0.229150218559242 0.233924208556428
"Court" 0.54127198917456 0.638686131386861 0.000962816044366563 0
"defendant" 1.48849797023004 0 0 0.0155949472370952
"plaintiff" 1.48849797023004 0 0 0.00519831574569839
"must" 0 0.182481751824818 0.0953187883922898 0.135156209388158
"bill" 0 0.0912408759124088 0.00288844813309969 0.140354525133857
"if" 0.27063599458728 0.182481751824818 0.324469006951532 0.197535998336539
"we" 0.27063599458728 0.182481751824818 0.0982072365253895 0.0987679991682695
"can" 0.27063599458728 0.0912408759124088 0.129980165989486 0.166346103862349
"will" 0.54127198917456 0 0.211819529760644 0.306700628996205
"one" 0 0.182481751824818 0.269588492422638 0.285907366013412
"judgment" 0 0.0912408759124088 0.00481408022183282 0.0363882102198888
"law" 0.6765899864682 0 0.0173306887985981 0.285907366013412
"were" 0.13531799729364 0.364963503649635 0.360093200593095 0.29110568175911
"them" 0.27063599458728 0.182481751824818 0.186786312607113 0.363882102198888
"title" 0 0 0 0.0207932629827936
"so" 0.27063599458728 0.273722627737226 0.466965781517783 0.187139366845142
"evidence" 1.21786197564276 0.273722627737226 0.00481408022183282 0.0207932629827936
"may" 0.27063599458728 0 0.118426373457087 0.317097260487602
"said" 0.13531799729364 0 0.699967264254492 0.3222955762333
"should" 0.27063599458728 0.182481751824818 0.128054533900753 0.155949472370952
"there" 0.40595399188092 0 0.254183435712773 0.124759577896761
"decree" 0 0 0 0.00519831574569839
"would" 0.27063599458728 0.182481751824818 0.265737228245171 0.249519155793523
"It" 0.13531799729364 0.182481751824818 0.169455623808515 0.285907366013412
"other" 0.13531799729364 0.182481751824818 0.104946948835955 0.16114778811665
"before" 0.13531799729364 0.0912408759124088 0.149236486876817 0.119561262151063
"entry" 0 0 0.000962816044366563 0.00519831574569839
"A" 0 0.0912408759124088 0.0770252835493251 0.0155949472370952
"deed" 0 0 0.000962816044366563 0.0883713676768727
"all" 0 0 0.385126417746625 0.306700628996205
"Ky" 0 0 0 0.0311898944741904
"part" 0 0.273722627737226 0.0491036182626947 0.114362946405365
"only" 0.27063599458728 0 0.127091717856386 0.145552840879555
"same" 0.13531799729364 0.273722627737226 0.068359939150026 0.145552840879555
"below" 0.40595399188092 0 0.00962816044366563 0
"cause" 0.40595399188092 0 0.0115537925323988 0.0623797889483807
"action" 0.27063599458728 0.0912408759124088 0.00962816044366563 0.0207932629827936
"therefore" 0.27063599458728 0.0912408759124088 0.0125166085767653 0.0363882102198888
"bond" 0 0 0.00192563208873313 0
"under" 0 0.0912408759124088 0.0452523540852285 0.192337682590841
"time" 0.6765899864682 0.182481751824818 0.15982746336485 0.176742735353745
"right" 0 0.182481751824818 0.0702855712387591 0.0935696834225711
"who" 0.13531799729364 0.0912408759124088 0.199302921183879 0.353485470707491
"But" 0.6765899864682 0.182481751824818 0.145385222699351 0.228725892810729
"could" 0.27063599458728 0.0912408759124088 0.188711944695846 0.12995789364246
"act" 0 0 0.00962816044366563 0.166346103862349
"first" 0.13531799729364 0 0.068359939150026 0.0467848417112855
"then" 0.27063599458728 0.0912408759124088 0.118426373457087 0.119561262151063
"defendants" 0 0 0 0
"error" 0.13531799729364 0 0.000962816044366563 0.00519831574569839
"its" 0 0.0912408759124088 0.110723845102155 0.213130945573634
"Cases" 0 0 0 0
"Most" 0 0 0.00192563208873313 0
"This" 0 0.0912408759124088 0.0433267219964954 0.0623797889483807
"Cited" 0 0 0 0
"when" 0.13531799729364 0.182481751824818 0.284993549132503 0.145552840879555
"parties" 0.13531799729364 0.0912408759124088 0.00385126417746625 0.00519831574569839
"without" 0 0.182481751824818 0.0770252835493251 0.135156209388158
"after" 0 0 0.103021316747222 0.0831730519311743
"possession" 0 0.0912408759124088 0.00770252835493251 0.0155949472370952
"In" 0 0.0912408759124088 0.0645086749725597 0.0935696834225711
"order" 0.27063599458728 0 0.0144422406654985 0.0363882102198888
"THE" 0 0 0.022144769020431 0
"opinion" 0.27063599458728 0.182481751824818 0.0163678727542316 0.025991578728492
"sale" 0 0 0.000962816044366563 0.0103966314913968
"might" 0 0.182481751824818 0.108798213013422 0.0831730519311743
"claim" 0.13531799729364 0.0912408759124088 0.00673971231056594 0.025991578728492
"where" 0.27063599458728 0.547445255474453 0.102058500702856 0.0779747361854759
"costs" 0 0 0.00192563208873313 0.0103966314913968
"estate" 0 0 0.00192563208873313 0.0779747361854759
"being" 0.13531799729364 0.273722627737226 0.146348038743718 0.0987679991682695
"v" 0 0 0 0
"contract" 0 0 0.00192563208873313 0
"ought" 0 0.364963503649635 0.0182935048429647 0.0363882102198888
"trial" 0.13531799729364 0.273722627737226 0.00192563208873313 0.0207932629827936
"question" 0.13531799729364 0.182481751824818 0.0423639059521288 0.0519831574569839
"given" 0.27063599458728 0 0.0250332171535306 0.0519831574569839
"her" 0 0 1.14189982861874 0.0727764204397775
"does" 0.13531799729364 0.0912408759124088 0.0356241936415628 0.0571814732026823
"do" 0.13531799729364 0 0.273439756600104 0.29110568175911
"between" 0 0.273722627737226 0.0423639059521288 0.0155949472370952
"suit" 0.13531799729364 0 0.00288844813309969 0.0467848417112855
"taken" 0 0.0912408759124088 0.0259960331978972 0.025991578728492
"brought" 0 0.0912408759124088 0.052954882440161 0.0311898944741904
"record" 0 0.0912408759124088 0.00192563208873313 0.0363882102198888
"equity" 0 0 0 0.0311898944741904
"these" 0 0.0912408759124088 0.0933931563035566 0.166346103862349
"did" 0 0 0.118426373457087 0.109164630659666
"acres" 0 0 0 0.0311898944741904
"shall" 0 0 0.0731740193718588 0.296303997504808
"those" 0.13531799729364 0.456204379562044 0.052954882440161 0.145552840879555
"conveyance" 0 0 0.000962816044366563 0.00519831574569839
"also" 0 0 0.0173306887985981 0.0935696834225711
"Kentucky" 0 0.182481751824818 0 0.124759577896761
"money" 0 0 0.0336985615528297 0.0571814732026823
"writ" 0 0 0 0.0103966314913968
"execution" 0 0 0.00192563208873313 0.0155949472370952
"having" 0 0.0912408759124088 0.0423639059521288 0.0467848417112855
"heirs" 0 0 0 0.0207932629827936
"party" 0 0 0.0105909764880322 0.0727764204397775
"survey" 0 0 0 0
"county" 0 0 0 0.0935696834225711
"note" 0 0 0.00577689626619938 0.0519831574569839
"If" 0.27063599458728 0.0912408759124088 0.0953187883922898 0.0935696834225711
"damages" 0.27063599458728 0 0 0.0155949472370952
"John" 0 0 0.00192563208873313 0.114362946405365
"whether" 0 0 0.0539176984845275 0.0363882102198888
"necessary" 0 0 0.015405056709865 0.0207932629827936
"two" 0 0.456204379562044 0.0895418921260904 0.0987679991682695
"We" 0 0 0.0250332171535306 0.0311898944741904
"pay" 0.13531799729364 0 0.00288844813309969 0.0779747361854759
"plea" 0.13531799729364 0 0.000962816044366563 0.0311898944741904
"th" 0 0 0.0587317787063604 0.171544419608047
"proof" 0.54127198917456 0 0.00288844813309969 0.00519831574569839
"than" 0 0 0.164641543586682 0.12995789364246
"held" 0 0 0.0240704011091641 0.0727764204397775
"well" 0.27063599458728 0.0912408759124088 0.103984132791589 0.187139366845142
"general" 0.13531799729364 0 0.0346613775971963 0.0415865259655872
"more" 0.13531799729364 0.0912408759124088 0.217596426026843 0.119561262151063
"sold" 0 0 0.00385126417746625 0.0311898944741904
"some" 0.13531799729364 0.0912408759124088 0.143459590610618 0.145552840879555
"consideration" 0 0 0.0144422406654985 0.00519831574569839
